,contractSymbol,strike,currency,lastPrice,change,percentChange,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,volume
17,TSLA211105C00645000,645,USD,147.51,0.0,0.0,1,150.8,154.8,REGULAR,1636070400,1632934493,0.725161439819335,True,
18,TSLA211105C00650000,650,USD,152.64,0.0,0.0,22,146.4,150.35,REGULAR,1636070400,1633620956,0.717226948852539,True,1.0
19,TSLA211105C00655000,655,USD,143.41,0.0,0.0,3,142.0,145.9,REGULAR,1636070400,1633541662,0.7088041815185541,True,1.0
20,TSLA211105C00660000,660,USD,138.98,-3.7400055,-2.6205194,33,137.5,141.45,REGULAR,1636070400,1633705034,0.698977619628906,True,1.0
21,TSLA211105C00665000,665,USD,148.7,0.0,0.0,36,133.15,136.7,REGULAR,1636070400,1633632989,0.6873505386352541,True,4.0
22,TSLA211105C00670000,670,USD,148.01,0.0,0.0,31,128.75,132.65,REGULAR,1636070400,1633633093,0.681216566772461,True,2.0
23,TSLA211105C00675000,675,USD,143.59,0.0,0.0,6,124.45,128.3,REGULAR,1636070400,1633633093,0.672732764892578,True,1.0
24,TSLA211105C00680000,680,USD,122.44,0.24000549999999998,0.19640385,14,120.1,123.95,REGULAR,1636070400,1633707528,0.6633334448242191,True,1.0
25,TSLA211105C00685000,685,USD,116.41,-19.39,-14.278349,61,115.8,119.65,REGULAR,1636070400,1633704712,0.654239297485351,True,1.0
26,TSLA211105C00690000,690,USD,116.03,0.0,0.0,32,111.55,115.35,REGULAR,1636070400,1633545741,0.6450841156005861,True,34.0
27,TSLA211105C00695000,695,USD,127.2,0.0,0.0,50,107.35,111.1,REGULAR,1636070400,1633633467,0.6362035891723631,True,1.0
28,TSLA211105C00700000,700,USD,109.97,-5.970001,-5.149216,174,103.6,105.95,REGULAR,1636070400,1633721804,0.6233252999877931,True,21.0
29,TSLA211105C00705000,705,USD,101.0,-3.2600021,-3.1268005,17,98.95,102.65,REGULAR,1636070400,1633714949,0.617191328125,True,2.0
30,TSLA211105C00710000,710,USD,101.16,0.0,0.0,29,94.8,98.15,REGULAR,1636070400,1633613659,0.605228557128906,True,1.0
31,TSLA211105C00715000,715,USD,95.33,0.0,0.0,13,91.15,94.7,REGULAR,1636070400,1633616178,0.60388579711914,True,1.0
32,TSLA211105C00720000,720,USD,91.5,-0.25,-0.27247956,52,86.7,90.3,REGULAR,1636070400,1633720884,0.589390092468261,True,29.0
33,TSLA211105C00725000,725,USD,83.7,-5.2000046,-5.8492736999999995,7,82.7,86.25,REGULAR,1636070400,1633704289,0.579990772399902,True,12.0
34,TSLA211105C00730000,730,USD,79.6,-11.700005,-12.8149,37,79.0,81.95,REGULAR,1636070400,1633704250,0.57028627960205,True,11.0
35,TSLA211105C00735000,735,USD,88.0,0.0,0.0,30,75.1,78.05,REGULAR,1636070400,1633634991,0.561253166809082,True,7.0
36,TSLA211105C00740000,740,USD,72.0,-13.93,-16.210869,41,71.3,74.15,REGULAR,1636070400,1633705277,0.5521742781066891,True,2.0
37,TSLA211105C00745000,745,USD,70.25,-6.9300003,-8.979011,47,67.5,70.3,REGULAR,1636070400,1633700743,0.5426986648559571,True,2.0
38,TSLA211105C00750000,750,USD,69.25,-11.669998,-14.421649,909,63.85,66.8,REGULAR,1636070400,1633721395,0.5355881402587891,True,76.0
39,TSLA211105C00755000,755,USD,63.66,-0.3900032,-0.6089043,24,60.2,63.05,REGULAR,1636070400,1633703317,0.526127785644531,True,1.0
40,TSLA211105C00760000,760,USD,61.51,-9.77,-13.70651,150,56.65,59.45,REGULAR,1636070400,1633721039,0.517399845581054,True,124.0
41,TSLA211105C00765000,765,USD,54.48,-8.27,-13.179283999999999,81,53.2,55.9,REGULAR,1636070400,1633722877,0.508702422790527,True,17.0
42,TSLA211105C00770000,770,USD,53.17,-6.330002,-10.638659,99,49.8,52.45,REGULAR,1636070400,1633719176,0.500005,True,25.0
43,TSLA211105C00775000,775,USD,50.02,-5.540001,-9.971204,267,46.5,49.05,REGULAR,1636070400,1633720297,0.506169489135742,True,29.0
44,TSLA211105C00780000,780,USD,44.7,-7.3499985,-14.121035,215,43.85,45.85,REGULAR,1636070400,1633723071,0.49811292907714805,True,90.0
45,TSLA211105C00785000,785,USD,41.8,-7.209999,-14.711282,166,40.35,42.75,REGULAR,1636070400,1633723169,0.49020895538330006,True,231.0
46,TSLA211105C00790000,790,USD,38.7,-7.3999977,-16.052057,1120,37.45,39.75,REGULAR,1636070400,1633723193,0.48245756805419904,False,236.0
47,TSLA211105C00795000,795,USD,36.0,-7.529999,-17.298412,166,34.7,36.9,REGULAR,1636070400,1633723166,0.47537756072998005,False,117.0
48,TSLA211105C00800000,800,USD,33.4,-7.0699997,-17.46973,493,32.85,34.1,REGULAR,1636070400,1633723199,0.46777875976562505,False,294.0
49,TSLA211105C00805000,805,USD,33.1,-5.25,-13.689701,67,29.6,31.7,REGULAR,1636070400,1633721126,0.46364366928100503,False,35.0
50,TSLA211105C00810000,810,USD,29.5,-7.4000015,-20.054203,174,27.2,29.25,REGULAR,1636070400,1633720678,0.45779961151123005,False,56.0
51,TSLA211105C00815000,815,USD,26.15,-6.199999,-19.165377,95,25.0,26.9,REGULAR,1636070400,1633723162,0.451909777832031,False,59.0
52,TSLA211105C00820000,820,USD,24.1,-6.42,-21.035387,212,22.9,24.85,REGULAR,1636070400,1633723162,0.448400291442871,False,73.0
53,TSLA211105C00825000,825,USD,22.75,-5.25,-18.75,133,20.95,22.85,REGULAR,1636070400,1633722254,0.444310976867675,False,31.0
54,TSLA211105C00830000,830,USD,20.74,-7.1100006,-25.529627,196,19.2,20.95,REGULAR,1636070400,1633722631,0.44019114501953105,False,77.0
55,TSLA211105C00835000,835,USD,18.4,-5.41,-22.721546,96,17.9,18.8,REGULAR,1636070400,1633722861,0.431631049957275,False,25.0
56,TSLA211105C00840000,840,USD,17.8,-5.4000015,-23.27587,135,15.9,17.25,REGULAR,1636070400,1633721993,0.42938803039550705,False,49.0
57,TSLA211105C00845000,845,USD,16.25,-3.75,-18.75,55,14.65,15.8,REGULAR,1636070400,1633718572,0.42725182128906203,False,5.0
58,TSLA211105C00850000,850,USD,14.0,-4.379999,-23.830246,1288,13.55,14.45,REGULAR,1636070400,1633722617,0.42529871582031203,False,393.0
59,TSLA211105C00855000,855,USD,14.0,-5.5699997,-28.46193,35,12.35,13.2,REGULAR,1636070400,1633721368,0.423528713989257,False,28.0
60,TSLA211105C00860000,860,USD,11.7,-5.0600004,-30.190933,218,11.1,11.85,REGULAR,1636070400,1633722850,0.41907319213867106,False,95.0
61,TSLA211105C00870000,870,USD,9.75,-3.5,-26.415094,558,9.05,10.15,REGULAR,1636070400,1633722639,0.42181974670410105,False,635.0
62,TSLA211105C00880000,880,USD,8.25,-3.0500002,-26.991154,251,7.55,8.5,REGULAR,1636070400,1633719824,0.421514573974609,False,212.0
63,TSLA211105C00890000,890,USD,7.0,-3.3500004,-32.367153,406,6.35,7.15,REGULAR,1636070400,1633722228,0.42249112670898403,False,66.0
64,TSLA211105C00900000,900,USD,5.7,-2.3000002,-28.750002,569,5.25,6.0,REGULAR,1636070400,1633722794,0.423620265808105,False,92.0
65,TSLA211105C00910000,910,USD,4.8,-1.9099998,-28.464975,227,4.3,5.15,REGULAR,1636070400,1633722794,0.42780113220214805,False,97.0
66,TSLA211105C00920000,920,USD,3.8,-2.2500002,-37.190086,140,3.65,4.35,REGULAR,1636070400,1633722678,0.43012044494628904,False,3.0
67,TSLA211105C00930000,930,USD,3.5,-1.44,-29.149797,130,3.0,3.7,REGULAR,1636070400,1633716452,0.43335527587890604,False,52.0
68,TSLA211105C00940000,940,USD,3.26,-1.3399999,-29.130436,43,2.5300000000000002,3.2,REGULAR,1636070400,1633722260,0.43823803955078106,False,38.0
69,TSLA211105C00950000,950,USD,2.86,-0.74,-20.555555,389,2.11,2.88,REGULAR,1636070400,1633722260,0.44690494506835904,False,80.0
70,TSLA211105C00960000,960,USD,1.98,-1.1199999,-36.129032,43,1.8399999999999999,2.41,REGULAR,1636070400,1633723145,0.44824770507812406,False,1.0
71,TSLA211105C00970000,970,USD,2.02,-1.04,-33.986927,168,1.54,2.11,REGULAR,1636070400,1633712819,0.45380184875488205,False,137.0
72,TSLA211105C00980000,980,USD,1.6800000000000002,-0.64,-27.586206,663,1.28,1.9,REGULAR,1636070400,1633705461,0.461553236083984,False,508.0
73,TSLA211105C00990000,990,USD,1.51,-0.94000006,-38.367348,57,1.35,1.6800000000000002,REGULAR,1636070400,1633709027,0.46741255249023406,False,2.0
74,TSLA211105C01000000,1000,USD,1.4,-0.5400001,-27.835056,290,1.2,1.52,REGULAR,1636070400,1633722099,0.47498083618164005,False,110.0
75,TSLA211105C01010000,1010,USD,1.28,0.16999996,15.3153105,128,0.8300000000000001,1.38,REGULAR,1636070400,1633706003,0.48254911987304605,False,3.0
76,TSLA211105C01020000,1020,USD,1.1,-0.53,-32.515335,20,1.01,1.27,REGULAR,1636070400,1633719725,0.49084981811523404,False,14.0
77,TSLA211105C01025000,1025,USD,1.57,0.0,0.0,4,0.66,1.21,REGULAR,1636070400,1633444297,0.49438982177734303,False,
78,TSLA211105C01030000,1030,USD,1.51,0.0,0.0,24,0.8,1.24,REGULAR,1636070400,1633355221,0.503789141845703,False,1.0
79,TSLA211105C01040000,1040,USD,0.84,-0.46999997,-35.87786,11,0.5,1.16,REGULAR,1636070400,1633719850,0.512822254638671,False,3.0
80,TSLA211105C01050000,1050,USD,0.8,-0.44,-35.48387,38,0.6000000000000001,1.1,REGULAR,1636070400,1633717248,0.502446381835937,False,8.0
81,TSLA211105C01060000,1060,USD,0.78,-0.17000002,-17.89474,6,0.44,0.97,REGULAR,1636070400,1633704804,0.50232431274414,False,3.0
82,TSLA211105C01070000,1070,USD,0.71,-0.14000005000000001,-16.470592,3,0.32,0.98,REGULAR,1636070400,1633714514,0.5097705273437501,False,1.0
83,TSLA211105C01075000,1075,USD,1.0,0.0,0.0,4,0.42,0.96,REGULAR,1636070400,1633634798,0.520512607421874,False,8.0
84,TSLA211105C01080000,1080,USD,1.1,0.0,0.0,22,0.28,0.93,REGULAR,1636070400,1633357051,0.517338811035156,False,
85,TSLA211105C01090000,1090,USD,0.97,0.0,0.0,10,0.29,0.89,REGULAR,1636070400,1633363578,0.5283250292968751,False,3.0
86,TSLA211105C01100000,1100,USD,0.55,-0.26,-32.098763,88,0.38,0.6000000000000001,REGULAR,1636070400,1633722514,0.5275926147460931,False,9.0
87,TSLA211105C01125000,1125,USD,0.49,0.0,0.0,9,0.12,0.56,REGULAR,1636070400,1633532856,0.5329636547851561,False,1.0
88,TSLA211105C01150000,1150,USD,0.39,-0.18,-31.578949,11,0.25,0.7000000000000001,REGULAR,1636070400,1633702593,0.583988535156249,False,6.0
89,TSLA211105C01175000,1175,USD,0.28,-0.06999999,-19.999998,3,0.05,0.64,REGULAR,1636070400,1633701072,0.5888712988281251,False,2.0
90,TSLA211105C01200000,1200,USD,0.45,0.0,0.0,8,0.04,0.59,REGULAR,1636070400,1633354947,0.6088906298828121,False,2.0
91,TSLA211105C01225000,1225,USD,0.25,0.0,0.0,32,0.03,0.55,REGULAR,1636070400,1633633894,0.6289099609375001,False,104.0
92,TSLA211105C01250000,1250,USD,0.29,0.08,38.095238,26,0.12,0.2,REGULAR,1636070400,1633700200,0.6137733935546871,False,1.0
93,TSLA211105C01275000,1275,USD,0.16,0.0,0.0,38,0.08,0.25,REGULAR,1636070400,1633633008,0.63867548828125,False,19.0
94,TSLA211105C01300000,1300,USD,0.08,-0.16,-66.66667,9,0.05,0.45,REGULAR,1636070400,1633714318,0.689944506835937,False,3.0
95,TSLA211105C01325000,1325,USD,0.17,0.0,0.0,9,0.0,0.43,REGULAR,1636070400,1633527031,0.70117486328125,False,1.0
96,TSLA211105C01350000,1350,USD,0.21,-0.040000007000000004,-16.000002,9,0.01,0.1,REGULAR,1636070400,1633715848,0.63867548828125,False,9.0
97,TSLA211105C01375000,1375,USD,0.11,0.0,0.0,17,0.04,0.4,REGULAR,1636070400,1633614841,0.7460962890625,False,7.0
98,TSLA211105C01400000,1400,USD,0.14,0.04,39.999996,129,0.0,0.25,REGULAR,1636070400,1633704658,0.726565234375,False,8.0
99,TSLA211105C01425000,1425,USD,0.06,0.0,0.0,104,0.01,0.31,REGULAR,1636070400,1633633709,0.76367423828125,False,100.0
100,TSLA211105C01450000,1450,USD,0.04,-0.089999996,-69.230774,39,0.01,0.07,REGULAR,1636070400,1633722070,0.6953155468750001,False,12.0
